id,height,peito_circ,cintura_circ,quadril_circ,coxa_circ,joelho_circ,panturrilha_circ,abdomen_circ,pescoco_circ,biceps_circ,split
syn_f000012-3-Pos,152.31,98.9,72.25,94.89,55.02,37.09,37.8,80.32,37.79,31.7,train
syn_f000034-1-Pos,169.58,111.74,93.78,121.17,73.28,47.18,41.68,101.58,40.27,37.8,train
syn_f000043-3-Pos,162.02,101.05,77.55,96.61,56.39,38.53,38.42,82.37,42.17,31.81,train
syn_f000049-0-Pre,170.84,109.83,93.81,109.76,62.23,40.37,36.4,99.68,41.21,29.92,train
syn_f000064-1-Pos,165.53,107.6,87.68,106.96,63.83,43.98,39.21,90.66,39.08,32.53,train
syn_f000067-0-Pos,166.0,94.38,77.18,106.89,60.11,40.67,36.04,89.02,34.25,28.65,train
syn_f000071-0-Pos,173.41,96.21,80.77,111.92,63.32,44.55,39.08,92.69,34.43,31.05,train
syn_f000075-3-Pre,174.21,101.99,75.36,104.72,63.06,42.6,41.07,82.45,37.04,34.38,train
syn_f000079-3-Pos,171.62,118.7,92.33,113.56,71.14,46.02,44.14,98.69,42.47,39.86,train
syn_f000092-1-Pos,178.1,108.75,87.92,113.37,65.27,44.35,38.96,87.56,38.16,30.8,train
syn_f000093-2-Pos,162.84,107.65,84.39,108.48,67.65,47.0,41.81,88.73,35.41,37.8,train
syn_f000094-2-Pos,166.27,108.83,88.58,107.69,65.47,44.52,39.91,91.2,38.62,35.09,train
syn_f000122-0-Pos,171.17,92.73,81.83,104.6,57.81,36.81,30.72,90.87,35.74,28.32,train
syn_f000126-2-Pos,157.48,110.29,92.65,100.86,56.27,37.43,35.19,94.67,41.0,32.58,train
syn_f000127-1-Pos,160.29,94.53,76.27,99.91,55.57,41.43,33.59,80.8,37.14,29.95,train
syn_f000141-2-Pos,176.62,105.38,82.82,113.21,65.99,43.52,42.01,88.84,37.42,33.2,train
syn_f000143-1-Pre,163.81,100.13,78.63,105.58,60.95,42.78,36.55,83.08,37.71,28.77,train
syn_f000157-1-Pos,160.78,113.18,99.4,118.61,72.14,52.34,38.53,106.27,39.69,42.46,train
syn_f000167-2-Pre,158.59,105.68,88.04,112.65,63.32,43.58,38.75,90.48,37.54,34.73,train
syn_f000178-1-Pos,170.73,101.21,78.4,119.74,66.97,44.56,38.92,91.27,35.5,33.11,train
syn_f000184-1-Pre,158.48,104.03,78.48,96.92,54.04,40.83,36.98,82.16,37.75,31.47,train
syn_f000188-3-Pre,162.51,103.81,82.02,120.2,69.39,44.15,42.77,91.07,36.35,34.72,train
syn_f000218-2-Pre,167.54,92.34,68.35,106.36,58.31,38.19,35.44,74.57,34.76,28.02,train
syn_f000220-2-Pre,156.39,116.03,100.52,112.68,63.74,46.49,42.53,100.46,42.56,41.29,train
syn_f000227-3-Pre,170.43,106.53,80.41,117.91,72.56,49.15,44.23,90.81,40.35,38.07,train
syn_f000239-3-Pos,167.63,92.8,66.47,98.11,57.6,39.42,41.22,72.12,36.03,30.4,train
syn_f000250-1-Pre,163.55,99.56,87.57,107.02,59.15,39.4,36.22,94.21,35.42,30.3,train
syn_f000273-2-Pos,163.08,91.62,75.28,96.47,53.29,34.7,34.65,77.93,35.26,29.98,train
syn_f000282-0-Pos,166.79,82.23,64.44,107.05,53.26,38.67,32.9,68.98,32.31,21.8,train
syn_f000282-3-Pre,166.79,91.44,61.37,103.49,58.23,39.55,38.68,63.93,34.96,27.36,train
syn_f000293-2-Pre,163.55,97.73,76.2,101.44,59.23,39.58,36.92,81.9,37.25,32.89,train
syn_f000294-2-Pos,176.16,135.81,118.82,139.64,83.6,55.3,50.38,128.67,44.75,49.32,train
syn_f000318-3-Pre,160.81,110.96,91.85,111.95,70.35,44.84,40.72,96.37,39.84,40.94,train
syn_f000329-2-Pre,166.67,107.45,90.58,110.28,64.18,44.35,39.59,96.13,40.71,35.4,train
syn_f000337-3-Pre,146.62,95.16,70.8,92.69,55.71,37.43,34.4,76.23,36.29,32.78,train
syn_f000343-2-Pre,156.67,89.07,72.51,93.93,54.56,35.32,37.96,72.27,38.09,28.36,train
syn_f000345-2-Pre,159.35,88.41,68.73,104.01,61.11,46.77,41.27,74.71,32.31,32.74,train
syn_f000346-2-Pre,156.59,109.03,86.18,108.52,64.05,46.17,39.57,85.28,36.03,37.09,train
syn_f000349-2-Pos,161.0,115.1,92.3,112.35,66.96,44.36,41.02,99.26,41.54,38.01,train
syn_f000359-2-Pos,171.48,127.77,103.37,124.35,73.93,47.72,41.89,109.62,42.18,40.24,train
syn_f000368-3-Pos,176.72,125.73,101.41,130.87,74.67,48.98,50.46,112.46,42.08,43.38,train
syn_f000386-3-Pos,165.74,82.74,62.16,102.05,59.95,41.38,42.08,72.86,32.64,28.04,train
syn_f000389-1-Pre,159.94,86.41,75.04,104.67,57.39,41.94,35.67,78.74,32.0,28.09,train
syn_f000389-2-Pre,159.94,88.76,73.61,104.95,58.82,42.47,37.67,76.61,32.87,29.48,train
syn_f000395-1-Pos,168.53,94.57,74.46,103.97,59.67,39.51,35.43,80.66,35.11,28.16,train
syn_f000398-0-Pre,164.14,110.6,96.0,121.77,71.12,47.13,38.75,115.35,39.13,37.22,train
syn_f000402-3-Pre,161.76,106.86,82.07,111.81,66.23,40.91,40.65,85.94,37.81,35.05,train
syn_f000403-1-Pos,176.39,91.95,76.1,106.79,61.63,40.12,36.57,81.58,35.03,32.27,train
syn_f000403-3-Pos,176.39,95.97,74.19,105.53,64.57,40.55,40.24,80.08,36.87,36.11,train
syn_f000409-3-Pre,161.44,97.36,79.28,112.52,68.65,48.72,44.5,83.82,37.45,33.25,train
syn_f000418-0-Pos,163.15,82.31,64.5,95.54,48.9,36.72,31.73,69.52,30.45,22.0,train
syn_f000419-2-Pos,183.74,120.23,92.17,123.73,76.88,48.16,47.5,95.08,38.54,41.4,train
syn_f000438-0-Pre,171.79,88.38,73.2,101.46,53.95,36.88,31.97,78.08,32.66,24.09,train
syn_f000439-3-Pre,157.64,118.62,87.66,108.4,69.37,47.23,43.11,93.58,39.33,38.22,train
syn_f000441-0-Pos,160.11,98.72,80.61,109.6,60.3,46.67,35.47,90.4,36.75,32.04,train
syn_f000449-0-Pre,168.23,88.94,73.73,103.8,57.08,42.46,34.99,79.34,33.12,27.81,train
syn_f000454-1-Pos,167.56,98.93,75.66,107.43,58.49,41.49,38.19,85.28,35.64,28.77,train
syn_f000464-3-Pre,159.82,123.59,97.61,117.52,66.26,43.18,41.92,103.24,43.67,39.47,train
syn_f000468-1-Pre,167.69,92.91,74.51,113.4,64.48,41.74,38.72,77.04,33.71,30.15,train
syn_f000471-2-Pos,158.88,111.13,89.52,109.74,64.07,42.56,35.2,97.78,36.36,33.37,train
syn_f000483-3-Pos,172.93,133.24,104.04,133.39,81.15,51.62,47.91,110.4,42.84,46.56,train
syn_m000502-2-Pos,188.82,102.9,75.58,108.89,61.57,41.97,39.59,79.93,39.24,32.51,train
syn_m000506-2-Pos,159.38,97.96,75.68,96.34,56.41,37.07,38.22,74.59,36.55,32.86,train
syn_m000508-2-Pos,183.78,107.22,73.14,105.16,60.51,39.61,40.89,72.08,42.99,35.78,train
syn_m000512-0-Pos,180.31,116.24,108.98,109.56,60.44,43.02,40.87,110.08,43.85,31.19,train
syn_m000549-3-Pos,170.32,107.97,75.4,102.33,57.0,39.12,40.99,71.68,38.17,33.65,train
syn_m000550-0-Pos,195.8,110.75,104.99,117.0,69.61,45.35,40.3,109.76,44.3,34.03,train
syn_m000569-2-Pre,182.34,106.97,76.88,111.26,64.55,45.67,41.59,79.0,41.77,36.07,train
syn_m000580-0-Pos,173.76,99.25,91.94,106.58,62.77,46.21,42.44,96.18,42.36,35.59,train
syn_m000609-3-Pre,190.54,121.38,86.66,114.04,67.4,44.66,47.23,87.3,41.34,39.44,train
syn_m000611-2-Pos,178.48,98.46,65.03,99.87,55.08,37.82,41.11,60.86,39.25,28.46,train
syn_m000626-1-Pos,167.57,105.84,98.45,106.52,65.05,46.2,43.48,99.84,39.86,34.91,train
syn_m000631-0-Pre,188.73,102.04,93.94,112.17,68.48,44.93,39.13,99.4,40.35,31.59,train
syn_m000640-3-Pos,188.38,112.34,71.48,102.96,55.82,38.62,41.77,68.73,39.26,33.88,train
syn_m000644-3-Pos,176.91,99.98,63.41,96.24,53.94,36.33,40.97,64.01,39.78,33.52,train
syn_m000645-1-Pre,191.39,100.37,81.33,108.57,66.57,41.73,38.1,87.85,40.57,31.23,train
syn_m000647-2-Pos,188.5,109.83,78.39,112.82,62.78,43.72,41.66,80.53,41.86,35.36,train
syn_m000651-3-Pre,184.78,113.61,78.14,103.17,59.48,41.92,43.19,77.85,42.18,38.35,train
syn_m000665-2-Pos,180.2,108.49,80.57,110.21,68.28,42.8,40.12,82.66,42.6,36.37,train
syn_m000670-0-Pos,163.91,99.89,92.63,97.07,55.44,41.21,37.59,93.93,42.01,31.51,train
syn_m000670-3-Pos,163.91,110.45,78.63,96.69,57.23,41.72,43.86,75.3,43.53,36.91,train
syn_m000676-1-Pre,180.48,102.87,83.43,105.46,58.66,40.72,36.39,86.77,36.66,32.42,train
syn_m000678-1-Pre,184.51,105.41,78.26,103.02,60.36,38.76,38.93,78.77,39.4,33.87,train
syn_m000687-3-Pos,182.0,120.69,82.98,118.06,71.19,47.43,46.72,84.31,40.74,42.43,train
syn_m000698-2-Pre,192.0,110.41,81.05,104.52,60.33,41.4,36.93,82.42,41.78,32.48,train
syn_m000709-3-Pre,190.04,103.12,72.31,106.9,59.69,38.64,40.87,72.31,36.92,35.06,train
syn_m000716-3-Pre,176.05,118.74,83.15,108.97,66.93,45.08,45.24,82.77,46.45,40.33,train
syn_m000724-3-Pos,177.9,115.59,77.44,103.1,56.4,37.28,40.42,79.07,44.21,37.79,train
syn_m000730-3-Pos,183.83,135.11,100.29,115.33,68.2,47.68,50.41,100.69,49.01,44.78,train
syn_m000735-3-Pre,184.04,108.35,68.17,109.78,66.02,45.13,44.23,70.83,40.81,37.7,train
syn_m000736-3-Pre,174.64,112.88,76.58,111.21,64.63,43.63,45.71,73.66,46.16,38.86,train
syn_m000745-0-Pre,185.42,98.89,95.76,101.6,59.32,39.6,37.63,97.56,41.5,31.6,train
syn_m000750-0-Pre,178.52,91.22,81.22,95.48,53.58,35.86,34.04,82.16,38.15,27.22,train
syn_m000753-1-Pos,177.19,99.62,88.32,100.57,56.38,37.26,37.44,88.34,40.7,31.84,train
syn_m000759-0-Pos,171.93,89.48,80.19,101.96,59.41,40.53,36.29,78.32,38.55,28.25,train
syn_m000790-0-Pre,177.71,115.98,108.01,109.84,63.71,43.67,39.62,110.44,47.62,35.79,train
syn_m000791-1-Pre,179.35,110.91,100.83,116.51,68.8,45.7,43.93,101.07,40.74,34.43,train
syn_m000794-0-Pre,187.56,113.47,103.64,109.82,62.83,40.95,40.13,107.95,43.84,33.01,train
syn_m000806-2-Pre,181.96,121.24,98.24,109.87,67.16,42.94,42.27,99.74,44.16,37.62,train
syn_m000810-3-Pos,184.81,128.32,94.12,116.98,69.54,45.11,48.96,94.12,45.99,42.43,train
syn_m000813-0-Pre,185.05,103.0,96.3,110.22,63.59,42.58,36.56,98.88,39.38,28.02,train
syn_m000814-1-Pos,188.28,125.8,115.64,118.75,70.42,47.71,41.74,118.04,47.14,39.48,train
syn_m000823-3-Pre,186.89,118.25,82.29,112.85,68.53,46.2,48.14,82.55,44.92,38.72,train
syn_m000824-3-Pre,176.07,110.07,73.33,104.25,62.13,41.38,42.17,66.24,40.13,36.31,train
syn_m000830-0-Pos,177.45,107.21,98.52,112.16,66.7,45.99,44.02,101.3,42.38,34.28,train
syn_m000843-1-Pre,191.72,112.33,92.42,113.39,65.89,42.12,39.39,94.28,41.64,32.62,train
syn_m000852-1-Pre,182.9,98.55,79.14,103.39,57.84,40.46,41.71,81.27,38.94,29.89,train
syn_m000853-2-Pos,178.14,121.66,97.51,111.02,68.29,47.3,45.52,98.13,46.65,41.69,train
syn_m000854-0-Pos,178.84,105.41,92.45,102.44,60.54,39.9,36.28,92.22,42.69,30.52,train
syn_m000859-0-Pre,172.74,103.12,97.03,106.52,61.82,43.11,36.39,100.76,41.16,34.07,train
syn_m000862-2-Pre,168.92,97.02,78.37,98.66,57.79,41.45,40.19,74.11,39.71,34.14,train
syn_m000865-0-Pre,181.34,103.1,93.79,104.14,58.0,42.33,36.4,97.74,39.83,31.05,train
syn_m000907-3-Pos,178.91,112.08,73.27,101.96,57.2,35.95,41.14,74.47,41.64,33.18,train
syn_m000909-1-Pos,171.39,111.01,97.98,104.5,61.97,43.93,40.6,102.43,40.0,37.09,train
syn_m000938-0-Pos,176.34,94.5,88.25,104.27,58.68,39.61,34.58,92.46,39.39,30.41,train
syn_m000940-1-Pos,181.1,115.07,97.85,111.67,63.0,41.42,39.41,101.29,45.36,36.07,train
syn_m000946-0-Pre,176.01,108.92,104.85,112.17,66.28,43.63,42.4,105.42,42.13,34.05,train
syn_m000947-3-Pos,178.14,123.28,86.33,105.43,63.77,41.07,44.29,86.05,44.76,40.0,train
syn_m000956-1-Pos,173.69,111.61,99.67,111.44,63.27,43.86,40.16,102.54,45.39,35.18,train
syn_m000959-0-Pos,180.9,99.16,86.44,110.09,61.66,44.03,38.29,94.19,39.13,32.67,train
syn_m000974-2-Pre,193.66,109.4,82.76,114.71,67.29,46.57,44.29,85.94,43.3,35.93,train
syn_m000983-3-Pre,176.6,106.45,71.0,99.92,59.48,38.12,41.05,66.9,41.54,35.86,train
syn_m000996-2-Pos,177.41,111.08,87.06,107.43,61.52,40.54,38.01,84.45,41.66,34.01,train
syn_m000999-0-Pos,182.1,97.58,84.19,101.19,58.96,39.49,38.4,86.09,42.0,30.94,train
syn_m000999-1-Pre,182.1,100.27,79.21,101.35,59.02,39.43,40.25,79.86,42.3,33.3,train
syn_f000512-3-Pos,154.51,99.44,71.68,103.02,57.46,38.32,37.0,72.33,35.5,29.55,train
syn_f000520-2-Pre,164.39,100.64,79.44,109.35,62.52,44.81,38.0,84.98,37.12,34.22,train
syn_f000523-1-Pre,162.81,97.11,74.93,100.92,53.38,37.91,35.85,80.79,33.1,27.6,train
syn_f000532-3-Pos,166.74,113.22,91.29,112.44,68.15,50.75,45.51,90.43,39.79,39.58,train
syn_f000535-2-Pre,174.48,99.29,80.99,110.21,67.0,47.27,42.34,83.72,36.28,34.0,train
syn_f000536-0-Pos,174.12,99.55,84.93,120.58,66.48,43.38,37.97,94.49,35.67,32.92,train
syn_f000539-1-Pos,179.91,94.1,75.84,112.77,63.63,43.22,39.39,92.08,34.77,32.26,train
syn_f000547-2-Pos,162.6,101.91,77.47,108.69,62.83,41.06,38.58,88.83,35.85,32.47,train
syn_f000548-1-Pos,163.03,92.41,68.33,109.2,63.55,42.19,38.81,73.96,33.35,30.06,train
syn_f000554-1-Pos,156.89,84.26,66.54,85.95,47.54,36.41,33.67,66.0,34.51,25.74,train
syn_f000559-2-Pre,170.81,117.95,104.64,120.93,70.88,49.89,41.03,111.11,39.67,40.79,train
syn_f000564-0-Pre,170.79,109.6,91.01,115.45,64.01,43.27,38.75,97.87,36.43,33.83,train
syn_f000564-2-Pre,170.79,114.95,88.75,114.38,66.43,43.83,42.44,93.15,38.15,37.09,train
syn_f000578-2-Pre,169.47,133.88,116.34,139.92,81.11,55.19,47.9,129.54,46.4,48.99,train
syn_f000579-2-Pre,153.53,83.25,65.8,90.73,50.52,35.25,30.37,67.92,31.05,26.77,train
syn_f000584-2-Pre,162.69,90.97,71.31,95.38,50.97,33.12,35.43,72.19,32.55,29.78,train
syn_f000587-0-Pos,155.15,106.93,92.71,110.18,62.38,46.13,34.42,105.35,34.25,34.87,train
syn_f000602-2-Pos,163.98,88.62,71.11,107.78,60.36,41.3,39.62,83.96,32.45,28.88,train
syn_f000608-0-Pre,162.43,105.13,90.98,105.58,59.3,41.63,35.42,94.67,37.68,30.07,train
syn_f000625-3-Pre,164.47,95.32,74.07,98.71,55.31,38.37,40.05,80.43,37.61,30.09,train
syn_f000647-2-Pre,169.2,100.34,81.53,107.49,59.59,41.1,34.57,88.18,37.36,31.24,train
syn_f000658-2-Pre,164.86,97.64,80.29,111.18,65.72,45.35,39.58,83.14,32.7,32.25,train
syn_f000663-0-Pos,157.42,107.6,91.59,108.92,63.33,45.23,35.09,97.46,34.92,35.62,train
syn_f000695-1-Pos,171.84,106.53,87.78,112.94,65.2,44.4,39.84,97.97,39.95,33.6,train
syn_f000698-1-Pre,156.75,97.71,82.1,103.93,56.12,37.49,33.6,95.06,35.32,30.7,train
syn_f000701-2-Pre,161.76,91.79,65.74,107.95,61.41,40.43,36.46,70.98,33.95,29.22,train
syn_f000708-3-Pre,171.96,117.14,90.56,120.57,78.85,51.23,49.85,93.32,40.91,42.15,train
syn_f000720-3-Pos,166.02,111.03,83.11,114.6,68.91,43.67,40.87,90.32,40.29,37.13,train
syn_f000732-0-Pos,178.17,119.23,106.9,132.1,75.19,49.56,42.94,120.68,40.54,43.44,train
syn_f000737-3-Pos,167.41,115.71,93.44,120.77,72.44,48.21,46.2,99.35,38.29,41.61,train
syn_f000738-2-Pre,165.88,108.87,87.32,110.37,65.82,43.01,37.82,94.09,38.27,35.95,train
syn_f000747-0-Pos,160.62,108.81,95.14,108.0,57.28,37.8,32.58,100.25,38.38,32.52,train
syn_f000750-0-Pos,166.93,96.21,77.65,106.94,60.12,38.33,34.68,84.82,36.36,26.87,train
syn_f000758-1-Pos,172.82,116.16,96.41,118.07,67.5,42.71,38.37,101.98,37.65,33.93,train
syn_f000813-3-Pre,163.76,96.75,71.31,106.1,59.58,38.9,37.97,77.49,34.42,31.24,train
syn_f000817-2-Pos,166.22,119.34,92.28,112.4,61.73,43.29,39.76,93.81,43.06,34.77,train
syn_f000820-2-Pos,162.56,103.7,81.07,103.04,60.42,41.79,38.41,80.06,38.23,32.35,train
syn_f000830-0-Pre,161.18,101.25,86.4,110.38,60.06,39.39,31.95,86.84,35.92,29.68,train
syn_f000830-3-Pos,161.18,107.82,82.63,104.9,64.75,40.58,37.79,81.05,38.68,34.04,train
syn_f000857-0-Pos,164.17,109.44,93.5,111.78,65.54,46.52,38.06,99.01,35.74,34.03,train
syn_f000858-2-Pos,166.75,116.94,96.71,117.34,70.21,48.53,41.72,102.03,41.94,40.42,train
syn_f000865-0-Pre,165.06,97.15,78.54,110.02,64.27,43.74,33.26,90.29,33.04,30.14,train
syn_f000866-3-Pre,164.22,95.36,70.26,106.6,61.52,39.98,38.39,78.71,36.51,29.34,train
syn_f000867-3-Pos,163.29,105.22,75.85,109.94,64.91,45.12,41.78,79.17,37.18,36.27,train
syn_f000869-1-Pre,183.89,115.34,93.31,114.0,68.02,43.81,42.7,95.93,39.24,33.59,train
syn_f000877-0-Pos,170.76,91.02,72.92,112.28,64.12,42.15,39.29,84.56,34.34,28.93,train
syn_f000877-3-Pre,170.76,98.66,69.17,113.07,68.42,42.9,44.97,78.26,36.96,33.61,train
syn_f000881-0-Pos,157.04,99.69,83.55,98.92,56.08,39.99,34.15,84.51,33.54,29.37,train
syn_f000886-3-Pos,176.11,104.86,74.32,98.69,58.31,37.69,39.46,82.73,38.14,30.84,train
syn_f000890-0-Pos,156.4,90.78,74.95,104.28,56.07,37.99,30.52,84.08,32.35,27.88,train
syn_f000896-1-Pos,183.12,104.88,82.64,113.01,62.68,40.57,37.33,87.46,37.66,28.62,train
syn_f000898-2-Pre,174.11,84.85,65.46,104.39,58.71,41.02,38.33,70.22,31.47,26.39,train
syn_f000919-3-Pos,151.31,111.7,87.2,102.22,61.2,41.93,40.24,91.08,45.06,35.8,train
syn_f000928-0-Pos,172.22,94.82,78.03,110.64,57.51,41.58,37.43,82.51,34.21,25.01,train
syn_f000930-0-Pos,162.79,109.45,90.3,124.46,72.39,52.61,40.07,95.67,35.42,37.63,train
